HONOKAA HIGH & INTERMEDIATE SCHOOL,HONOKAA,45-527 PAKALANA STREET,,96727,HI
KALANIANAOLE ELEMENTARY & INTERMEDIATE SCHOOL,PAPAIKOU,27-330 OLD MAMALAHOA HWY,,96781,HI
MED. CORP. FOOD SERVICES,HILO,HC1 STAINBACK HWY,,93447,HI
MALAMALAMA KINDERHALE AND PRESCHOOL,KEAAU,15-1834 MAKU'U DRIVE,,96749,HI
CHIEFESS KAPIOLANI ELEMENTARY SCHOOL CAFETERIA,HILO,966 KILAUEA AVENUE,,96720,HI
KEONEPOKO ELEMENTARY SCHOOL,PAHOA,15-890 KAHAKAI BOULEVARD,,96778,HI
MOUNTAIN VIEW ELEMENTARY SCHOOL,MOUNTAIN VIEW,18-1235 VOLCANO  HIGHWAY,,96771,HI
HILO HIGH SCHOOL CAFETERIA,HILO,556 WAIANUENUE AVENUE,,96720,HI
KAMEHAMEHA SCHOOLS-KEAWE DINING HALL,KEAAU,16-720 VOLCANO ROAD,,96749,HI
KE KULA O NAWAHIOKALANI OPUU,KEAAU,16-120 OPUKAHAIA STREET,,96749,HI
KAU HIGH & PAHALA ELEMENTARY SCHOOL,PAHALA,PAHALA,,96777,HI
KAUMANA ELEMENTARY SCHOOL CAFETERIA,HILO,1710 KAUMANA DRIVE,,96720,HI
KEAUKAHA SCHOOL CAFETERIA,HILO,240 DESHA AVENUE,,96720,HI
HAWAII COMMUNITY COLLEGE FOOD SERVICE,HILO,200 W. KAWILI STREET,,96720,HI
KEAAU ELEMENTARY HEAD START,KEAAU,"16-680 KEAAU-PAHOA ROAD, D-111",,96819,HI
KALEIDOSCOPE KIDS,KEAAU,15-1381 26TH AVENUE,,96749,HI
KAMEHAMEHA PRESCHOOL PIIHONUA,HILO,1350 WAIANUENUE AVENUE,,96720,HI
HAWAIIAN BEACHES HEAD START CENTER,PAHOA,15-360 N. PUNI MAKI LOOP,,96778,HI
KEONEPOKO ELEMENTARY HEAD START/PACT,PAHOA,15-890 KAHAKAI BOULEVARD,,96819,HI
BIG ISLAND FRUITSICLES - CATERING,HONOKAA,45-539 PLUMERIA STREET,,96727,HI
WAIAKEA ELEMENTARY SCHOOL CAFETERIA,HILO,180 WEST PUAINAKO STREET,,96720,HI
PAAUILO SCHOOL CAFETERIA,PAAUILO,P.O. BOX 329,,96776,HI
NAALEHU SCHOOL-CAFETERIA,NAALEHU,NAALEHU,,96722,HI
ST. JOSEPH'S CAFETERIA,HILO,1000 ULULANI STREET,,96720,HI
WAIAKEA INTERMEDIATE SCHOOL CAFETERIA,HILO,200 W. PUAINAKO STREET,,96720,HI
WAIAKEA SETTLEMENT YMCA,HILO,300 W. LANIKAULA STREET,,96720,HI
MONTESSORI COUNTRY SCHOOL,PAHOA,15-3006 PAHOA VILLAGE ROAD,,96778,HI
KA HALE O NA KEIKI PRESCHOOL,HONOKAA,45-3668 HONOKAA-WAIPIO ROAD,,96727,HI
KAMEHAMEHA PRESCHOOLS PAHOA P3,PAHOA,15-3022 PUNA ROAD,,96720,HI
KEAAU INCLUSION,KEAAU,16-680 KEAAU-PAHOA ROAD,,96721,HI
WAIAKEAWAENA SCHOOL FOOD SERVICE,HILO,2420 KILAUEA AVENUE,,96720,HI
LIFE CARE CENTER OF HILO,HILO,944 W. KAWAILANI STREET,,96720,HI
HALE HO'OLA HAMAKUA,HONOKAA,45-547 PLUMERIA STREET,,96727,HI
DRAGON'S EYE VENTURES,PAHOA,"HIGHWAY 130 PAHOA-KALAPANA ROAD, BIG ISLAND PROCESSING",,96778,HI
MARGARITA  VILLAGE MEXICAN CANTINA,HILO,11 SILVA STREET,,96720,HI
HALE ANUENUE RESTORATIVE CARE CENTER,HILO,1333 WAIANUENUE AVENUE,,96720,HI
HAWAII COMMUNITY CORRECTIONAL-HALE NANI FACILITY,HILO,3200 KANOELEHUA AVENUE,,96720,HI
STEPHANIE'S LOUNGE,HILO,750 KINOOLE STREET,,96720,HI
PUNANA LEO O HILO:  HI'I PEPE,KEAAU,16-120 OPUKAHAIA STREET,,96720,HI
BAMBOO GARDEN,HILO,718 KINOOLE STREET,,96720,HI
MOUNTAIN VIEW ELEMENTARY SCHOOL PRE PLUS,MOUNTAIN VIEW,18-1235 VOLCANO HIGHWAY,,96819,HI
PAHOA ELEMENTARY HEAD START,PAHOA,"15-3030 PUNA ROAD, P-17",,96819,HI
HILO HAWAIIAN HOTEL-WAIOLI LOUNGE,HILO,71 BANYAN DRIVE,,96720,HI
DRAGON'S EYE VENTURES,PAHOA,"HIGHWAY 130 PAHOA-KALAPANA ROAD, BIG ISLAND PROCESSING",,96778,HI
KAU HOSPITAL-KITCHEN,PAHALA,1 KAMANI STREET,,96777,HI
ALAN'S FOOD,VOLCANO,WRIGHT ROAD/COOPER CENTER,,96720,HI
KIM'S KARAOKE LOUNGE,HILO,760 PIILANI STREET,,96720,HI
HILO MEDICAL CENTER,HILO,1190 WAIANUENUE AVENUE,,96720,HI
AI OPENA ESPRESSO-COMMISSARY,KEAAU,16-203 WILIAMA PLACE,,96749,HI
ALOHA TROPICAL FARMS,HILO,211 KILAUEA STREET,,96720,HI
ALOHA PROMOTIONS,PAAUILO,43-964 PAAUILO MAKAI ROAD,,96743,HI
BIG T'S STREET TREAT'S - COMMISSARY,HONOKAA,64-453625 MAMANE STREET,,96743,HI
"UNCLE MILES' CATERING AND UNCLE MILES' KITCHENS, LLC",HILO,47 RAINBOW DRIVE,,96721,HI
AI'OPEN'A ESPRESSO-COMMISSARY,KEAAU,16-203 WILIAMA PLACE,,96749,HI
FIRE MOUNTAIN KITCHEN AT VOLCANO,VOLCANO,"ROAD 3, CYMBIDIUM AC.",,96785,HI
LE MAGIC PAN KITCHEN,HILO,94 WAINAKU STREET,,96720,HI
BIG ISLAND HOT DOG COMPANY-COMMISSARY,VOLCANO,COOPER CENTER,,96785,HI
GRASS SHAK - COMMISSARY,HONOKAA,45-491 LEHUA STREET,,96727,HI
ALOHA PROMOTIONS,HILO,14 W. LANIKAULA STREET,,96743,HI
AUNTYS PASTELES,HILO,485 HINANO STREET,,96720,HI
ALOHA PROMOTIONS - COMMISSARY,HILO,1044 KOMOHANA STREET,,96743,HI
4 SEASON'S FOOD,HILO,232 SILVA STREET,,96760,HI
AI'OPEN'A ESPRESSO - COMMISSARY,KEAAU,16-203 WILIAMA PLACE,,96749,HI
BIG ISLAND DOG HOUSE INC. - COMMISSARY,HILO,380 MAKAALA STREET,,96778,HI
ALOHA TROPICAL FARMS - COMMISSARY,HILO,330 KAMEHAMEHA AVENUE,,96760,HI
GERRIANNE'S KITCHEN,HILO,549 E. KAHAOPEA STREET,,96720,HI
COOPER CENTER COUNCIL,VOLCANO,19-4030 WRIGHT ROAD,,96785,HI
BROKE THE MOUTH,HILO,160 KILAUEA AVENUE,,96718,HI
DESTINATION BAKE SHOP,KEAAU,"17TH & MAKUU, HPP",,96749,HI
GREEN MACHINE - COMMISSARY,HILO,330 KAMEHAMEHA AVENUE,,96781,HI
CAPTAIN'S LUNCH WAGON (KITCHEN),HILO,16-203 WILIAMA PLACE,,96749,HI
ET PHONE US - COMMISSARY,PAHOA,16-343 AINALOA BOULEVARD,,96778,HI
CHARITY'S RICESWEET PRODUCTS,HAKALAU,29-2110 MAMALAHOA HIGHWAY,,96783,HI
CHI LE HUYNH,HILO,80 KILAUEA AVENUE,,96720,HI
GARDEN SNACK CLUB-KITCHEN,HILO,80 KILAUEA AENUE,,96720,HI
FROZEN ALOHA LLC / COMMISSARY,KEAAU,15-1570 MAKUU DRIVE,,96749,HI
GAURANGA LIVE -COMMISSARY,HILO,330 KAMEHAMEHA AVENUE,,96720,HI
EXPECT A MIRACLE-AUNTY PEACHES ONOLICIOUS POI BALLS,PAAUILO,"43-964 PAAUILO MAKAI ROAD, HCEOC PAAUILO",,96743,HI
CHARITY'S RICESWEET PRODUCTS,HAKALAU,29-2110 MAMALAHOA HIGHWAY(HCEOC HAKALAU),,96783,HI
GINA'S LUNCH WAGON,KEAAU,15-1570 MAKUU DRIVE,,96749,HI
COFFEE CABOOSE-COMMISSARY,VOLCANO,WRIGHT ROAD,,96721,HI
JJ'S SHAVE ICE/HOT DOG BUS,HILO,264 KEAWE STREET,,96720,HI
J & C PRODUCTS,HILO,205 E. KINAI STREET,,96781,HI
HOT POND HOT DOGS,HILO,16-203 WILIAMA STREET,,96778,HI
KAMALANI'S BBQ AND ONO GRINDZ,KEAAU,15-1835 HIALOA AVENUE(6TH HPP),,96749,HI
KAPOHO BED & BREAKFAST,PAHOA,14-4772 PUA-O-KAPOHO ROAD,,96778,HI
HANA HOU BBQ & HOT DOG CART-COMMISSARY,KEAAU,15-1570 MAKUU DRIVE (HPP KITCHEN),,96749,HI
"HILO MISSIONARY CHURCH, INC.",HILO,1044 KOMOHANA STREET,,96720,HI
HAWAII ACADEMY OF ARTS & SCIENCE,PAHOA,15-1397 HOMESTEAD ROAD,,96778,HI
J & J SHAVE ICE-COMMISSARY,HILO,"47 RAINBOW DRIVE, HCEOC KITCHEN",,96749,HI
J & C PRODUCTS,HILO,2036 KILAUEA AVENUE,,96720,HI
HAWAII ACADEMY OF ARTS & SCIENCE PCS,PAHOA,15-1397 HOMESTEAD ROAD,,96778,HI
JACK STRADA,PAHOA,13-3629 NOHEA STREET,,96778,HI
"HAWAIIAN VANILLA COMPANY, INC.",PAAUILO,43-964 PAAUILO MAKAI ROAD,,96776,HI
HPP OWNER'S ASSOCIATION AKA PARADISE HUI HANALIKE,KEAAU,15-1570 MAKUU,,96749,HI
HONPA HONGWANJI HILO BETSUIN,HILO,424 KILAUEA AVENUE,,96720,HI
ISLAND VALLEY DELIGHTS,PAHOA,"15-2945 PAHOA VILLAGE ROAD, UNIT A",,96771,HI
ISLAND FLAVOR-COMMISSARY,KEAAU,16-1612 34TH AVENUE,,96749,HI
MORNING STAR ESPRESSO,MOUNTAIN VIEW,17-995 VOLCANO HIGHWAY,,,HI
KEAAU YOUTH BUSINESS CENTER - COMMISSARY,KEAAU,15-640 KEAAU-PAHOA HIGHWAY,,96749,HI
KIM COMPANY-COMMISSARY,HILO,212 KAMEHAMEHA AVENUE,,96778,HI
MOANA'S POI - COMMISSARY,HILO,87 KAWAILANI STREET,,96720,HI
NAKAJI KESORN-COMMISSARY,HILO,83 ALA MUKU STREET,,96720,HI
KEAAU VILLAGE MARKET,KEAAU,16-0550 OLD VOLCANO ROAD,,96749,HI
LEHUA DESIGNS - COMMISSARY,HILO,11-3026 ALII PAPA STREET,,96785,HI
KUAHIWI RANCH NATURAL BEEF,NAALEHU,P.O. BOX 294,,96772,HI
"NANKULIKAI, INC. - CERTIFIED KITCHEN",PAHOA,SHELL AT NANAWALE SUBDIVISION,,96778,HI
LEI WATSON-COMMISSARY,HILO,264 KEAWE STREET,,96749,HI
ONO SIMPLE SALSA - COMMISSARY,HILO,300 KAMEHAMEHA AVENUE,,96749,HI
KAU ESPRESSO,NAALEHU,94-6448 MAMALAHOA HIGHWAY,,96772,HI
NAPUA LEI-COMMISSARY,VOLCANO,19-4039 WRIGHT ROAD,,96785,HI
LIL' MISS PIGGYS LLC,HILO,74 KAAPUNI LOOP,,96720,HI
NEW HOPE CHRISTIAN FELLOWSHIP,HILO,840 KUPULAU ROAD,,96720,HI
PAM LEE - COMMISSARY,KEAAU,"30TH STREET, KALOLI DRIVE, HPP",,96749,HI
SAMBO BERRIES,HILO,330 KAMEHAMEHA AVENUE,,96783,HI
NANI MAU GARDENS,HILO,421 MAKALIKA STREET,,96720,HI
WAILANA'S JUICE BAR - COMMISSARY,HILO,160 KILAUEA AVENUE,,96721,HI
TALOFA SAMOAN FOOD,KEAAU,PARADISE PARK COMMUNITY ASSOCIATION,,96749,HI
THOMAS LACKEY - COMMISSARY,PAHOA,15-2711 PALANI STREET,,96778,HI
THAI SMILE-COMMISSARY,HILO,88 KANOELEHUA AVENUE,,96771,HI
SOMMAI TANIMOTO,HILO,804 KILAUEA AVENUE,,96749,HI
TALOFA LOCO KITCHEN,HILO,330 KAMEHAMEHA AVENUE,,96749,HI
KAPIOLANI HEAD START,HILO,966 KILAUEA  AVENUE,,96721,HI
WAILANA'S JUICE BAR - COMMISSARY,HILO,211 KILAUEA AVENUE,,96721,HI
TW MANAPUA,HILO,300 W. LANIKAULA STREET,,96720,HI
THE HOT DOG GUY,HILO,330 KAMEHAMEHA AVENUE,,96778,HI
PUNA COVENANT CHURCH,KEAAU,16-647 OLD VOLCANO ROAD,,96749,HI
ROY'S THAI FOOD - COMMISSARY,PAHOA,15-2955 OLD PAHOA RAOD,,96721,HI
SHAVE ICE SHACK - COMMISSARY,HILO,45-539 PLUMERIA STREET,,96727,HI
WINE DINNERS,HONOKAA,45-539 PLUMERIA STREET,,96727,HI
POKE TO YOUR TASTE-COMMISSARY,HILO,85 PILIPAA STRET,,96720,HI
HAWAII COUNTY NUTRITION CENTER-PAHALA,PAHALA,PAHALA,,96720,HI
HAWAII COUNTY NUTRITION PROGRAM-HALE HAUOLI,HONOKAA,45-540 KONIAKA PLACE,,96720,HI
HAWAII COUNTY NUTRITION PROGRAM-PAAUILO,PAAUILO,43-505 PAAUILO PAKA LOOP,,96720,HI
